respondent_id,ATTN_1,ATTN_2,BIAS_01,BIAS_02,BIAS_03,BIAS_04,BIAS_05,BIAS_06,BIAS_07,BIAS_08,BIAS_09,BIAS_10,BIAS_11,BIAS_12,DOI_01,DOI_02,DOI_03,DOI_04,DOI_05,DOI_06,DOI_07,DOI_08,DOI_09,DOI_10,DOI_11,DOI_12,HSQ_aff_01,HSQ_aff_02,HSQ_aff_03,HSQ_aff_04,HSQ_aff_05,HSQ_aff_06,HSQ_aff_07,HSQ_aff_08,HSQ_aggr_01,HSQ_aggr_02,HSQ_aggr_03,HSQ_aggr_04,HSQ_aggr_05,HSQ_aggr_06,HSQ_aggr_07,HSQ_aggr_08,HSQ_self_01,HSQ_self_02,HSQ_self_03,HSQ_self_04,HSQ_self_05,HSQ_self_06,HSQ_self_07,HSQ_self_08,HSQ_soci_01,HSQ_soci_02,HSQ_soci_03,HSQ_soci_04,HSQ_soci_05,HSQ_soci_06,HSQ_soci_07,HSQ_soci_08,NPI_01,NPI_02,NPI_03,NPI_04,NPI_05,NPI_06,NPI_07,NPI_08,NPI_09,NPI_10,SD3_mac_01,SD3_mac_02,SD3_mac_03,SD3_mac_04,SD3_mac_05,SD3_mac_06,SD3_mac_07,SD3_mac_08,SD3_mac_09,SD3_narc_01,SD3_narc_02,SD3_narc_03,SD3_narc_04,SD3_narc_05,SD3_narc_06,SD3_narc_07,SD3_narc_08,SD3_narc_09,SD3_psy_01,SD3_psy_02,SD3_psy_03,SD3_psy_04,SD3_psy_05,SD3_psy_06,SD3_psy_07,SD3_psy_08,SD3_psy_09,country,language,age,gender,education,device,source,duration_sec
R0011,0,0,5,5,5,2,3,2,5,1,1,2,4,3,3,4,1,3,4,1,1,2,4,4,2,5,4,5,5,4,2,3,1,5,2,5,4,3,1,5,1,1,5,3,5,5,1,1,1,2,5,3,5,1,2,2,1,5,2,3,4,3,1,1,5,5,3,3,4,5,3,1,4,5,5,3,4,3,3,4,1,1,2,5,3,3,3,3,3,3,4,1,3,1,4,RU,ru,59,F,bachelor,mobile,panel,14.871099089892605
R0012,1,1,4,2,4,5,3,4,4,4,4,3,2,2,2,3,2,4,3,1,3,4,1,1,3,3,3,4,2,2,2,3,3,4,5,5,2,1,2,4,3,1,5,1,5,4,3,4,2,1,4,3,5,4,4,1,5,4,3,2,3,4,2,3,1,3,3,3,1,1,5,3,3,1,1,1,1,4,2,5,3,4,5,3,3,2,1,1,1,2,5,1,1,1,1,DE,de,41,M,master,desktop,organic,16.68549602742952
R0013,1,0,4,5,3,2,5,1,5,1,4,2,2,4,3,3,1,2,3,5,5,2,4,3,3,3,3,5,5,4,4,4,4,1,3,4,4,4,3,1,3,4,2,5,1,2,1,3,1,4,4,4,4,4,3,3,5,2,3,3,5,3,3,3,5,3,3,3,5,2,3,4,3,2,2,4,4,3,5,5,3,2,5,4,4,5,3,4,2,2,3,4,3,2,4,US,en,42,M,phd,desktop,panel,16.425365364904163
R0014,1,1,4,4,2,1,2,3,2,2,5,3,5,3,4,5,3,2,3,1,3,2,5,3,4,4,3,2,2,4,3,1,2,4,2,3,4,4,2,2,4,5,2,3,1,2,3,4,1,2,3,5,3,5,5,3,4,3,3,3,3,3,2,4,3,4,3,2,3,3,2,3,1,1,5,4,2,3,3,3,3,5,2,3,3,1,5,2,5,1,2,4,4,2,3,RU,ru,26,M,master,mobile,ads,15.472758857025525
R0015,1,1,1,2,4,4,2,4,3,4,2,2,1,2,4,2,3,4,3,3,4,3,2,3,3,3,3,3,5,4,4,4,2,2,2,2,5,5,4,2,1,5,1,5,1,1,1,1,1,4,2,1,1,1,1,5,1,1,5,4,3,3,4,3,4,5,4,4,4,2,4,3,5,1,5,4,4,3,4,2,1,3,4,3,4,3,2,2,3,2,4,2,3,2,1,IN,en,40,M,secondary,mobile,ads,29.69667001172577
R0016,1,0,3,3,5,2,2,2,3,1,4,3,2,4,3,2,3,2,5,5,2,2,4,3,2,3,2,2,2,2,2,2,1,3,2,1,5,3,3,2,2,4,1,5,1,1,1,1,1,5,2,5,5,4,3,2,2,2,5,4,5,2,3,5,4,4,2,5,3,3,3,2,3,4,3,2,3,2,2,1,5,4,2,1,3,3,3,2,2,3,4,3,1,1,3,DE,de,54,F,bachelor,mobile,organic,14.613760871494321
R0017,1,1,3,4,1,2,3,2,4,2,4,2,2,4,2,5,4,5,3,1,1,5,3,3,5,5,3,2,2,3,4,2,2,3,5,2,3,4,2,3,4,1,3,5,3,4,1,2,4,3,2,1,1,1,1,4,2,2,5,4,4,1,3,5,4,4,5,5,3,2,4,3,2,1,1,4,3,5,5,3,1,1,5,5,4,4,2,2,3,1,3,3,3,2,2,IN,en,26,M,secondary,mobile,ads,17.16550227841495
R0018,0,0,3,3,2,1,1,1,2,3,2,3,3,1,3,2,5,2,2,5,1,2,2,3,4,3,3,3,3,3,2,4,3,3,4,3,3,1,4,1,5,4,2,5,3,2,3,2,3,3,3,5,3,1,3,1,4,3,4,2,1,3,3,2,4,1,1,1,1,2,4,2,3,1,3,3,3,3,3,1,4,1,5,3,2,3,5,3,3,3,1,2,5,4,1,US,en,45,M,secondary,desktop,ads,16.065127124896268
R0019,1,0,3,5,3,2,2,2,1,5,5,3,5,2,1,4,5,1,1,5,4,2,3,2,4,4,4,2,1,3,5,1,1,3,3,1,2,1,2,4,5,1,2,4,2,2,3,1,5,2,1,2,1,1,5,2,2,2,3,5,2,1,4,3,5,5,3,3,4,5,1,2,3,4,1,3,2,2,1,3,2,4,3,5,3,2,3,4,3,3,3,2,2,4,3,US,en,44,F,bachelor,desktop,ads,16.097885388252593
R0020,1,1,1,2,3,3,2,4,3,4,2,2,3,3,2,2,4,3,2,3,4,4,4,4,4,2,3,4,3,4,5,3,3,3,2,2,5,4,5,1,1,3,4,2,4,5,5,4,5,3,3,4,5,5,4,1,4,5,1,2,2,4,4,2,4,1,1,2,3,2,3,2,2,3,3,3,3,3,2,3,4,5,2,4,2,3,3,1,3,1,5,2,3,2,3,RU,ru,44,M,secondary,desktop,organic,18.552133734602837
R0021,1,0,3,5,1,3,1,3,5,3,2,3,2,1,1,3,3,3,2,2,2,5,5,2,3,1,2,3,2,4,2,3,3,3,5,2,5,2,4,2,3,3,5,1,3,3,4,1,5,2,1,1,2,4,2,2,3,3,3,2,2,3,3,3,1,2,3,3,2,2,2,1,5,5,3,3,3,3,4,3,4,3,4,3,3,3,5,1,4,3,2,2,4,5,5,RU,ru,58,M,master,mobile,organic,18.404880551178902
R0022,1,0,4,5,3,3,4,1,2,2,4,5,5,3,2,3,3,2,1,4,3,3,4,5,3,4,3,4,5,5,5,4,5,3,3,3,1,2,1,4,4,3,1,5,1,1,1,1,2,4,1,2,1,2,2,5,2,1,3,5,5,3,4,5,4,3,4,5,1,2,4,3,4,2,2,2,2,2,2,1,3,4,4,2,4,1,2,3,1,2,5,3,2,2,2,US,en,56,M,secondary,desktop,panel,18.323455242762076
R0023,1,1,3,3,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,1,3,3,3,3,2,3,3,2,3,3,2,3,2,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,RU,ru,53,F,master,desktop,panel,17.10580461403215
R0024,0,0,5,3,2,1,5,1,3,1,5,1,4,4,2,3,3,4,3,2,1,2,3,2,4,3,3,5,2,3,2,5,1,3,2,1,1,4,3,3,1,1,5,4,2,1,1,4,1,2,4,3,1,1,3,2,3,1,1,1,2,5,4,2,3,3,5,4,2,1,4,3,2,4,1,4,2,4,1,5,4,2,3,5,5,4,2,1,1,3,4,3,2,5,3,IN,en,49,F,bachelor,mobile,ads,18.383228879069918
R0025,0,0,2,5,4,5,1,3,2,5,5,4,3,3,1,5,2,2,5,3,3,4,2,5,4,5,5,3,5,2,3,1,3,2,5,4,4,1,3,2,5,3,1,3,2,5,1,1,1,4,1,1,5,2,3,5,4,1,3,2,3,4,1,2,4,4,4,4,3,4,2,3,2,2,2,2,1,1,3,2,3,4,5,1,4,2,5,5,4,3,5,5,5,3,5,DE,de,19,M,phd,desktop,ads,19.712470416903926
R0026,1,1,2,5,1,3,4,1,5,1,4,5,3,3,2,2,2,1,3,4,4,3,3,5,2,1,1,1,3,3,2,2,3,3,5,5,1,2,2,5,5,3,2,1,1,1,3,3,3,3,3,4,4,3,4,4,3,3,2,2,2,4,1,2,1,1,1,1,1,2,5,3,2,1,2,3,1,2,3,1,4,4,2,3,4,3,3,4,5,2,1,2,3,3,3,DE,de,61,F,secondary,mobile,organic,17.219323972046475
R0027,1,1,1,1,5,5,1,5,2,4,1,3,2,1,3,2,2,2,2,3,5,1,4,4,1,2,2,1,1,1,1,2,1,5,4,4,2,3,3,3,4,4,5,4,3,5,5,3,3,1,4,4,5,5,5,1,5,5,3,2,2,5,2,1,4,2,2,2,1,1,5,2,1,1,1,4,1,3,4,3,3,3,2,1,3,4,3,5,4,3,2,4,4,3,2,RU,ru,46,F,master,mobile,ads,16.32478576455932
R0028,1,1,4,4,3,4,4,3,3,5,2,4,2,3,3,2,5,4,1,1,3,1,2,5,2,3,4,2,2,1,3,1,3,4,3,4,4,3,3,2,5,3,5,4,2,3,3,5,3,2,1,2,3,2,2,4,5,4,2,5,4,4,3,1,5,1,2,5,3,1,3,3,1,1,3,3,3,3,1,3,5,2,3,4,3,2,5,4,2,2,2,3,3,4,3,RU,ru,25,M,bachelor,mobile,organic,17.296366702756114
R0029,0,0,5,3,3,5,1,4,3,3,1,2,3,1,4,3,2,5,4,1,5,4,1,4,5,2,2,5,2,3,3,3,5,3,5,1,3,5,3,5,3,3,5,5,4,1,2,3,3,5,3,3,5,1,3,2,1,1,3,3,2,1,2,3,4,5,2,4,3,2,3,4,3,3,3,2,4,4,1,3,2,2,1,5,5,3,4,1,5,3,1,3,3,1,3,DE,de,48,M,bachelor,mobile,panel,16.297418090350188
R0030,1,1,2,3,2,3,2,4,4,4,2,1,4,1,3,4,4,1,1,3,2,4,1,3,3,4,2,1,1,1,4,4,1,3,2,3,4,3,2,5,3,3,3,3,5,4,4,5,3,1,5,3,4,3,5,4,1,3,2,2,2,4,2,2,1,5,5,2,1,4,4,4,1,2,1,2,2,5,2,5,2,3,4,4,4,3,3,4,5,2,3,2,5,2,2,IN,en,50,F,secondary,mobile,organic,18.70735358094186
R0031,1,1,3,4,4,4,1,2,4,2,5,3,3,2,3,5,3,2,5,1,2,3,4,3,2,5,3,3,4,4,2,2,2,4,4,4,2,4,3,2,5,3,4,3,2,4,3,2,2,4,3,5,3,4,4,2,5,5,4,2,4,2,5,2,4,3,5,4,2,2,4,3,2,2,3,4,3,2,2,1,3,5,2,4,2,2,2,2,4,1,4,2,2,1,2,DE,de,35,M,bachelor,mobile,ads,16.559187421504333
R0032,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,4,4,3,5,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,4,3,2,1,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,US,en,60,M,phd,desktop,panel,17.725271381847694
R0033,0,0,3,5,2,4,2,3,3,4,3,2,3,3,4,1,5,2,1,4,2,2,4,2,1,5,3,5,1,1,2,1,2,5,2,2,5,3,3,2,3,3,4,2,2,5,3,1,4,3,5,5,4,3,2,2,2,3,3,3,3,5,3,1,3,5,5,2,2,5,2,3,5,3,5,2,3,5,5,2,3,2,3,4,5,5,2,2,2,5,1,4,4,4,4,RU,ru,59,M,secondary,desktop,panel,15.384346811938988
R0034,1,0,2,3,4,5,1,5,2,5,3,1,2,1,1,2,4,2,2,3,3,1,4,3,4,4,4,5,4,5,5,4,3,1,2,1,5,5,3,2,2,4,5,2,4,3,4,3,2,1,2,1,1,3,1,5,1,1,2,1,1,4,1,2,1,2,1,1,2,2,3,3,1,2,3,2,2,3,2,4,3,3,3,4,4,3,5,2,4,3,2,3,5,3,1,RU,ru,48,F,bachelor,mobile,ads,15.689841087256223
R0035,0,1,1,3,3,2,4,1,3,5,4,3,2,4,3,1,2,2,1,3,2,3,3,2,4,5,3,3,3,1,2,4,2,2,3,2,2,5,1,3,4,2,1,3,5,3,5,3,5,3,2,2,3,2,2,3,4,3,3,3,2,5,1,2,5,3,4,3,3,1,1,2,3,5,3,2,3,2,4,4,4,3,5,2,2,5,2,1,2,3,5,2,4,3,1,US,en,63,F,master,mobile,organic,16.884443583264424
R0036,1,1,2,2,3,4,3,2,3,5,2,3,5,2,3,3,2,2,3,4,2,3,3,2,3,4,1,1,2,2,1,1,1,4,1,2,4,5,4,2,3,5,3,3,3,4,4,4,4,2,4,5,5,3,5,1,3,3,3,2,1,5,3,2,2,2,2,1,5,5,3,5,4,4,5,5,4,1,2,3,5,5,1,1,1,1,4,4,3,5,2,3,5,4,3,US,en,41,F,bachelor,desktop,panel,15.847907576770462
R0037,1,0,5,3,4,4,4,3,2,4,1,2,1,5,1,1,4,2,1,3,2,1,3,4,3,1,1,2,3,1,1,2,2,5,1,3,2,5,4,2,1,2,4,1,3,1,5,1,4,2,2,5,5,4,3,1,5,1,3,2,1,1,3,5,4,2,4,1,4,3,5,3,1,1,2,2,1,3,5,2,2,4,2,2,1,4,4,3,3,1,5,5,3,2,2,IN,en,48,F,secondary,mobile,ads,16.41179828415528
R0038,1,1,4,3,2,4,1,3,4,2,2,3,2,1,4,2,2,1,2,2,3,1,4,4,3,2,3,1,2,2,1,1,1,3,2,1,4,5,5,2,1,5,3,1,3,3,2,2,3,2,2,2,2,1,3,4,2,1,4,3,3,1,1,5,2,4,4,3,2,2,2,4,3,3,3,1,3,3,5,3,1,3,1,4,3,4,2,2,2,2,5,2,2,2,2,US,en,52,M,secondary,mobile,panel,28.317050297238385
R0039,1,1,4,1,2,2,3,3,4,4,4,3,2,4,4,1,1,1,2,3,3,1,5,5,3,1,2,1,3,1,1,1,1,5,3,5,1,2,1,3,5,3,3,4,2,1,3,2,2,2,1,3,4,4,4,4,3,3,3,4,3,3,4,3,2,3,4,3,5,5,1,4,4,5,5,4,3,5,4,3,3,1,5,4,3,4,4,5,3,2,2,4,3,5,5,US,en,43,M,bachelor,desktop,panel,17.966823218139993
R0040,1,1,2,1,5,5,1,5,1,5,2,1,3,1,2,5,4,3,2,4,2,2,2,1,3,2,5,5,4,5,4,3,3,1,5,5,2,1,1,3,5,1,5,2,3,2,2,3,2,3,3,4,2,3,3,3,1,2,4,4,3,4,3,3,2,2,2,3,1,4,2,2,5,4,4,5,2,3,3,1,2,5,2,2,3,2,1,1,4,1,4,2,1,2,2,US,en,29,M,master,desktop,panel,19.371032550438876
R0041,1,1,3,3,2,2,2,4,2,4,3,3,2,2,1,5,3,4,4,2,3,4,1,2,3,3,2,2,2,4,2,1,2,3,1,4,3,3,2,2,1,5,3,1,2,4,3,4,2,3,2,3,1,3,2,3,3,4,2,1,1,4,2,1,2,1,1,1,1,1,5,1,1,1,1,1,2,3,2,5,2,2,3,1,1,2,2,3,4,3,2,3,5,2,3,RU,ru,36,F,secondary,mobile,panel,15.809422509109025
R0042,1,0,1,3,3,3,2,4,2,3,2,2,5,2,5,2,2,1,2,3,3,3,5,5,1,1,4,5,5,5,3,3,5,1,4,4,1,3,1,3,3,2,2,4,2,2,1,2,1,5,4,4,3,3,4,4,3,3,3,5,5,3,5,4,3,4,3,3,2,2,3,2,2,3,3,4,2,1,2,4,3,5,1,2,4,2,4,5,4,4,2,4,4,5,5,DE,de,33,F,secondary,desktop,organic,16.181337921515134
R0043,1,1,2,3,1,2,5,3,5,3,5,5,2,4,4,2,3,2,4,5,5,3,3,3,2,2,1,2,1,1,2,1,2,4,1,2,4,5,4,1,2,3,2,5,2,1,3,1,3,2,4,5,2,3,3,2,4,3,2,3,3,3,2,1,3,2,4,1,5,5,2,2,4,3,4,5,4,4,2,3,1,2,4,1,3,2,4,3,4,4,1,4,3,5,4,US,en,61,M,secondary,mobile,ads,16.612903917515716
R0044,0,1,3,2,4,2,2,4,4,4,4,2,4,2,3,3,5,4,3,4,4,5,3,3,4,3,3,3,2,3,3,1,4,4,1,2,4,2,2,2,3,4,3,3,3,1,3,2,3,3,1,3,3,2,2,3,2,3,2,4,3,2,4,3,3,1,2,4,4,3,2,4,3,3,3,4,3,1,4,2,3,5,1,2,3,4,3,5,4,4,1,2,3,4,3,US,en,20,F,bachelor,desktop,ads,17.55905353551803
R0045,1,1,3,5,3,3,5,3,4,2,3,2,5,3,4,2,3,3,3,5,3,3,5,4,4,2,4,4,2,4,1,4,2,4,3,4,2,2,1,3,4,3,3,3,2,4,3,3,3,4,3,1,2,3,2,4,4,1,3,5,4,1,2,2,3,2,2,4,2,1,5,3,2,3,1,1,3,3,2,1,3,3,4,4,2,4,4,2,2,1,4,1,2,2,2,DE,de,50,M,bachelor,desktop,panel,14.619308198396402
R0046,0,0,3,5,1,4,5,3,3,4,2,3,5,1,1,3,5,3,3,3,3,5,3,3,3,3,1,2,4,3,2,3,5,2,2,4,3,1,3,4,4,5,3,1,4,5,4,3,1,3,4,3,3,5,3,2,3,3,2,3,3,3,5,1,4,1,1,1,3,1,2,2,3,4,1,4,5,3,2,2,1,4,3,2,2,5,4,1,2,2,2,3,3,2,5,DE,de,22,F,master,mobile,ads,17.38423467227782
R0047,1,1,2,2,4,5,2,4,2,4,2,2,2,3,4,4,2,4,2,3,2,2,4,2,4,4,3,1,4,2,2,2,1,5,1,1,5,5,5,1,1,5,3,5,2,2,3,3,2,2,3,4,4,1,2,2,5,3,3,3,4,4,3,2,1,2,1,2,1,1,3,1,1,1,1,2,2,3,2,3,3,4,5,3,4,3,1,1,3,2,4,1,2,2,1,IN,en,28,M,master,desktop,organic,17.10663429181105
R0048,1,0,1,4,5,5,2,5,3,5,2,2,2,2,5,2,1,2,1,5,5,1,4,5,1,2,4,4,3,2,5,2,5,3,4,4,3,2,1,4,4,2,3,1,2,4,2,2,1,3,2,5,4,3,2,3,3,4,4,4,4,4,4,3,4,4,3,5,2,3,4,2,3,4,3,2,5,3,2,2,4,4,2,3,3,2,4,3,3,2,2,3,4,4,4,US,en,57,M,master,mobile,organic,16.597992093728024
R0049,1,1,2,2,3,4,2,2,4,4,2,3,3,3,3,5,4,5,4,2,1,4,2,1,3,4,3,2,3,2,3,2,4,3,1,4,2,2,4,4,3,2,4,1,5,5,3,3,4,2,5,5,5,4,5,2,5,5,3,3,3,4,3,2,2,3,4,3,3,5,1,3,5,5,5,4,3,3,5,3,2,2,3,4,3,3,1,1,1,1,5,1,1,1,1,RU,ru,35,M,phd,mobile,organic,14.80465999288948
R0050,1,1,3,1,2,5,3,2,2,4,3,3,3,3,4,2,2,1,2,2,4,1,2,4,2,1,4,3,4,1,4,3,3,2,2,3,3,4,4,3,2,4,2,4,1,3,2,2,3,4,2,1,1,1,1,5,1,2,3,2,3,3,4,3,2,3,2,5,5,5,3,2,4,2,3,4,4,2,3,3,5,4,2,1,3,4,3,4,4,5,2,1,4,2,3,IN,en,37,F,secondary,mobile,ads,17.634735573710778
R0051,1,0,2,2,4,4,3,3,4,4,3,3,4,1,5,3,1,1,3,5,5,1,5,5,2,3,5,3,2,2,3,5,2,3,3,4,4,2,3,2,5,3,2,4,4,2,2,1,3,4,2,4,4,3,4,2,4,4,3,2,2,3,2,2,3,3,3,2,5,5,2,4,2,2,4,4,3,2,1,2,3,4,1,2,2,3,5,4,5,5,2,5,5,5,2,RU,ru,30,M,phd,mobile,panel,16.494854465578555
R0052,0,1,3,2,3,4,2,4,3,3,2,1,1,4,3,4,2,1,2,3,3,4,4,4,2,2,3,2,5,3,5,2,5,3,1,3,4,5,4,3,1,5,1,5,2,1,2,1,2,5,2,2,1,3,3,5,1,1,4,4,4,1,3,3,2,3,4,3,4,4,2,2,5,3,5,4,4,4,2,2,3,4,2,2,3,3,4,4,4,3,1,4,5,4,2,RU,ru,63,M,bachelor,mobile,ads,17.600814587892252
R0053,0,0,3,1,3,3,1,4,3,2,1,5,3,2,4,3,2,3,5,4,1,1,5,4,3,1,1,5,1,3,2,3,3,3,3,2,4,5,2,5,3,3,3,2,5,3,1,4,3,4,4,5,3,1,5,1,4,1,2,4,2,4,1,3,1,3,3,3,5,2,2,4,3,3,4,4,1,4,3,4,4,3,3,2,5,3,5,1,3,3,1,5,4,4,4,IN,en,46,M,secondary,desktop,ads,17.7567758307554
R0054,1,1,3,2,5,5,2,5,2,4,2,1,2,4,3,2,3,1,3,3,3,2,4,4,3,1,3,3,3,3,4,3,2,4,4,4,4,3,3,3,3,2,4,3,3,3,3,4,2,3,3,4,1,2,3,3,3,4,1,1,1,5,3,2,3,1,1,3,3,3,1,5,2,1,1,2,3,5,4,4,2,3,2,4,5,4,4,3,2,4,4,3,2,3,3,IN,en,45,F,master,mobile,ads,16.236360476411395
R0055,1,1,2,1,3,3,3,5,3,4,2,1,1,2,4,1,2,1,2,4,4,1,5,5,1,1,2,4,2,1,3,1,4,4,3,4,2,4,3,4,4,3,3,4,2,3,2,2,2,3,3,3,4,3,3,5,1,4,1,2,2,5,2,2,2,1,3,2,5,5,1,5,5,5,4,3,5,3,1,2,5,4,2,2,3,1,2,1,1,2,4,2,2,2,3,IN,en,27,M,master,mobile,panel,16.888905293562285
