respondent_id,ATTN_1,ATTN_2,BIAS_01,BIAS_02,BIAS_03,BIAS_04,BIAS_05,BIAS_06,BIAS_07,BIAS_08,BIAS_09,BIAS_10,BIAS_11,BIAS_12,DOI_01,DOI_02,DOI_03,DOI_04,DOI_05,DOI_06,DOI_07,DOI_08,DOI_09,DOI_10,DOI_11,DOI_12,HSQ_aff_01,HSQ_aff_02,HSQ_aff_03,HSQ_aff_04,HSQ_aff_05,HSQ_aff_06,HSQ_aff_07,HSQ_aff_08,HSQ_aggr_01,HSQ_aggr_02,HSQ_aggr_03,HSQ_aggr_04,HSQ_aggr_05,HSQ_aggr_06,HSQ_aggr_07,HSQ_aggr_08,HSQ_self_01,HSQ_self_02,HSQ_self_03,HSQ_self_04,HSQ_self_05,HSQ_self_06,HSQ_self_07,HSQ_self_08,HSQ_soci_01,HSQ_soci_02,HSQ_soci_03,HSQ_soci_04,HSQ_soci_05,HSQ_soci_06,HSQ_soci_07,HSQ_soci_08,NPI_01,NPI_02,NPI_03,NPI_04,NPI_05,NPI_06,NPI_07,NPI_08,NPI_09,NPI_10,SD3_mac_01,SD3_mac_02,SD3_mac_03,SD3_mac_04,SD3_mac_05,SD3_mac_06,SD3_mac_07,SD3_mac_08,SD3_mac_09,SD3_narc_01,SD3_narc_02,SD3_narc_03,SD3_narc_04,SD3_narc_05,SD3_narc_06,SD3_narc_07,SD3_narc_08,SD3_narc_09,SD3_psy_01,SD3_psy_02,SD3_psy_03,SD3_psy_04,SD3_psy_05,SD3_psy_06,SD3_psy_07,SD3_psy_08,SD3_psy_09,country,language,age,gender,education,device,source,duration_sec
R0021,1,0,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,2,3,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,3,3,3,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,5,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,RU,ru,31,F,phd,desktop,panel,18.15968210885903
R0022,0,1,3,4,1,5,3,5,5,4,5,4,3,4,4,3,1,3,2,1,3,5,3,4,5,3,3,2,3,4,3,5,1,3,4,1,1,1,3,1,3,5,3,3,2,5,2,3,2,2,4,3,2,4,2,4,2,3,3,3,4,3,4,1,3,5,5,3,3,4,5,2,4,2,3,2,3,3,5,4,5,1,3,1,2,4,3,3,3,1,3,5,4,3,3,DE,de,40,F,master,mobile,ads,16.680359923317052
R0023,0,1,3,2,2,1,3,1,1,5,4,5,5,4,4,4,3,4,2,3,2,2,1,5,4,4,1,4,5,5,3,3,3,5,1,4,1,4,1,1,5,1,3,1,3,3,4,3,4,3,3,2,2,4,4,3,1,4,1,1,4,5,3,2,4,4,2,4,1,1,2,3,4,5,3,4,3,3,5,5,3,4,5,1,5,2,2,1,1,3,4,3,3,4,5,US,en,37,F,phd,desktop,organic,16.778227848889582
R0024,1,0,4,1,5,5,2,3,2,2,1,1,4,3,3,3,3,4,2,5,3,3,1,4,3,3,3,3,1,1,3,1,5,1,3,1,2,3,4,3,1,5,4,3,3,1,3,4,1,5,4,4,2,4,3,1,2,3,5,3,2,4,3,3,3,5,3,4,2,4,3,4,3,2,2,5,1,4,5,5,3,3,3,1,2,3,2,4,3,4,3,4,4,5,3,DE,de,30,M,secondary,mobile,ads,16.577619124879675
R0025,0,0,3,5,3,1,2,3,3,2,4,1,3,3,4,3,2,3,2,5,1,2,5,5,3,5,1,5,2,5,3,1,3,1,3,1,3,4,1,3,1,3,5,2,5,3,3,2,5,4,4,2,3,2,1,2,3,1,2,3,2,3,2,4,2,2,5,2,2,3,2,2,4,2,4,3,3,3,4,3,1,1,1,3,1,3,1,4,1,4,5,5,1,3,3,IN,en,58,F,phd,desktop,panel,17.04205910616489
R0026,1,1,5,4,5,4,4,4,5,3,3,2,4,1,4,2,1,5,4,3,1,3,4,5,2,1,1,1,5,1,1,1,4,2,3,4,1,3,2,1,3,1,4,4,1,3,3,1,2,5,3,2,3,5,2,2,4,4,1,5,2,2,4,2,4,1,1,1,3,1,2,1,2,3,1,5,1,2,2,5,4,5,4,5,4,5,4,4,4,5,3,3,4,4,1,RU,ru,49,F,phd,desktop,panel,18.79573389503681
R0027,0,0,4,3,3,3,3,1,4,1,2,3,3,2,4,2,5,4,5,2,1,3,3,3,3,4,3,3,5,4,2,2,1,3,2,5,1,2,5,3,2,3,3,1,3,3,3,3,4,3,2,3,3,2,1,3,2,3,3,2,3,3,4,5,4,2,5,3,5,3,3,4,3,2,1,2,4,1,4,3,3,3,2,3,1,5,2,2,3,2,4,4,3,1,3,IN,en,53,F,secondary,mobile,organic,17.470852837531964
R0028,0,0,4,3,2,1,4,2,2,3,2,4,3,3,4,1,3,3,4,1,5,3,3,4,1,5,3,4,2,3,5,4,3,3,3,4,3,2,3,5,2,3,3,3,3,3,3,1,3,4,3,2,1,3,2,1,3,2,3,1,5,5,1,3,3,3,3,4,3,4,1,4,3,4,3,3,5,5,2,4,3,1,3,2,5,2,1,5,5,3,1,3,2,3,3,DE,de,22,F,bachelor,desktop,panel,15.653387095205872
R0029,0,0,4,1,3,3,5,1,1,3,1,3,1,4,4,3,3,3,3,4,3,3,4,4,2,4,4,3,3,5,1,5,2,3,1,4,2,4,3,5,4,1,5,3,5,3,3,3,5,1,5,3,4,1,5,3,4,3,3,5,1,5,3,5,5,3,1,4,2,2,4,3,4,3,3,3,4,3,3,2,2,3,4,4,2,1,2,5,5,2,5,1,4,2,3,DE,de,21,F,master,mobile,panel,18.209874331342906
R0030,0,0,5,2,3,3,4,4,3,5,4,1,4,5,4,5,1,3,5,3,2,5,1,4,2,3,3,1,4,4,1,2,4,3,2,3,2,4,4,3,2,1,2,4,5,2,2,2,4,3,4,1,2,5,2,4,1,5,2,2,2,4,1,1,2,2,3,3,4,4,1,1,3,5,5,1,5,2,3,5,4,3,2,3,2,4,3,4,2,2,2,3,4,1,1,IN,en,49,M,secondary,mobile,organic,17.03751270701403
R0031,1,1,4,2,3,3,2,4,3,2,3,4,3,4,3,4,5,1,2,4,2,3,1,4,3,1,3,3,4,2,3,2,2,3,2,4,2,3,4,3,3,3,2,4,1,1,3,2,2,4,4,4,4,3,1,4,2,4,5,3,2,3,4,4,3,3,1,2,4,5,1,4,1,2,1,2,2,2,2,3,1,2,4,4,3,2,4,2,1,3,4,3,3,4,3,IN,en,40,M,secondary,desktop,panel,27.298843899989098
R0032,1,0,4,4,4,3,3,3,3,5,3,2,3,4,1,5,3,4,5,2,3,1,2,3,3,1,4,3,1,3,2,1,5,2,3,3,5,4,4,3,4,1,4,2,1,5,3,3,3,3,2,4,1,4,2,3,2,1,2,4,3,2,3,5,3,2,1,2,3,4,2,3,3,4,4,3,4,3,3,3,4,5,3,1,3,3,4,2,5,3,2,2,4,3,5,US,en,52,F,secondary,desktop,ads,16.623765270323272
R0033,0,0,4,3,2,3,2,4,2,3,5,2,4,3,3,4,5,3,2,3,3,3,2,2,4,4,3,3,3,3,3,1,3,5,3,5,3,3,3,2,2,1,4,3,1,3,5,2,1,3,3,3,3,2,3,4,5,5,2,1,4,1,2,4,3,1,2,4,5,4,1,2,2,1,5,3,1,2,4,3,3,3,3,5,4,3,3,5,4,5,1,4,5,1,3,US,en,56,F,bachelor,desktop,organic,16.272086018498577
R0034,1,0,2,4,4,2,4,4,3,3,3,4,2,1,4,4,1,1,2,5,2,2,4,2,2,1,3,2,4,4,1,5,1,1,3,2,1,2,3,3,3,3,1,5,4,1,4,1,4,3,5,4,2,5,2,2,1,1,5,2,5,2,2,2,4,1,3,2,5,3,3,4,4,2,4,4,3,2,5,5,4,5,4,2,1,4,1,1,3,1,4,1,3,5,4,RU,ru,53,M,phd,desktop,organic,17.05876946603978
R0035,1,0,4,1,1,5,5,3,3,1,4,1,5,3,4,3,3,2,3,3,3,5,5,4,1,1,2,3,4,3,3,3,3,5,3,5,2,4,3,2,3,2,3,2,2,3,5,5,4,3,3,3,2,1,3,1,3,1,5,4,2,5,3,1,3,4,4,2,1,1,1,3,5,3,1,3,1,1,1,3,1,1,3,1,2,3,2,3,1,1,3,4,3,3,3,RU,ru,63,M,bachelor,mobile,panel,16.880135479006622
R0036,1,1,5,4,1,4,3,3,2,1,5,2,5,4,4,3,5,2,2,3,3,4,2,4,1,4,3,3,2,3,2,5,1,2,5,1,4,4,4,1,5,3,2,4,2,1,2,2,2,2,1,5,5,5,5,5,5,5,4,2,4,3,4,3,1,3,5,2,3,4,3,1,3,1,2,3,2,5,5,4,4,3,3,2,2,5,2,3,1,5,5,3,3,2,3,US,en,44,M,bachelor,mobile,panel,28.14529825420662
R0037,1,0,5,1,1,5,5,1,2,2,5,1,5,5,2,4,1,5,3,2,4,1,4,5,1,3,4,5,1,5,2,5,2,3,1,4,2,2,2,5,4,3,2,4,3,4,2,3,5,2,2,4,5,3,2,4,4,3,4,3,4,2,3,2,3,3,4,3,3,1,4,3,3,4,3,3,2,2,2,4,3,1,1,5,4,1,1,5,4,5,1,4,4,1,5,IN,en,39,M,phd,mobile,panel,28.636660543045778
R0038,0,0,3,3,4,4,3,4,1,5,3,3,1,2,2,5,1,4,3,3,2,1,2,3,3,1,1,1,3,5,3,5,3,3,1,2,5,1,3,2,5,1,2,4,4,5,4,3,4,3,2,4,5,3,3,4,3,5,3,2,1,5,5,1,4,2,2,5,2,1,4,1,3,3,1,3,4,3,5,4,2,3,1,2,3,3,1,1,2,5,5,3,3,3,2,IN,en,26,F,master,mobile,ads,18.75088475480407
R0039,0,1,4,5,5,3,4,3,2,3,1,2,1,2,5,5,2,2,3,3,3,3,1,3,3,3,3,3,3,1,4,4,4,2,4,3,1,3,3,4,3,4,3,2,2,2,2,2,3,4,3,3,1,1,2,3,1,1,3,3,1,5,5,5,3,1,3,4,4,3,5,3,4,5,5,5,2,3,3,1,5,1,3,5,5,1,5,5,3,2,2,2,3,1,4,DE,de,18,M,bachelor,desktop,ads,19.641252911358272
R0040,0,1,5,4,1,4,1,4,3,3,2,1,4,5,2,1,2,1,4,4,5,1,3,5,2,5,2,2,1,5,4,3,2,4,5,4,4,5,4,1,2,4,3,2,2,5,5,1,4,5,3,2,4,3,2,1,4,2,4,3,4,5,1,5,5,4,2,2,2,3,1,2,5,3,5,2,2,1,5,4,2,2,1,3,4,3,3,5,2,3,2,3,4,1,2,IN,en,47,F,master,mobile,panel,17.780954238651415
R0041,0,1,3,3,4,3,1,4,5,4,1,4,3,3,3,5,1,4,5,4,2,2,1,5,3,1,3,2,2,2,3,3,4,3,5,1,4,5,3,1,3,5,3,2,5,3,4,5,3,4,3,5,1,1,2,3,1,4,3,3,2,4,5,3,5,2,4,2,3,2,3,3,3,3,2,4,5,1,1,3,2,3,4,4,3,3,3,1,5,1,4,1,5,5,4,DE,de,25,M,bachelor,desktop,panel,18.18883371058809
R0042,1,0,3,3,2,5,2,2,1,3,4,5,3,3,3,3,3,4,4,3,3,2,5,2,1,3,4,3,1,4,3,3,2,1,3,2,4,3,2,3,3,2,3,3,3,3,1,3,5,5,1,4,3,3,5,1,5,3,3,2,1,1,2,2,4,4,3,3,3,1,3,1,1,1,4,1,1,3,1,3,3,2,2,3,2,3,4,5,5,3,4,4,3,4,2,RU,ru,54,F,bachelor,mobile,organic,15.47167120685299
R0043,1,0,4,3,3,5,1,1,3,1,5,4,3,2,5,5,2,1,2,2,1,5,4,4,3,5,3,3,2,1,2,5,2,5,4,2,1,5,5,3,5,2,5,1,5,4,3,4,5,3,3,4,4,1,4,1,2,3,2,5,1,5,2,5,2,5,5,5,5,3,2,1,4,1,3,1,1,5,3,3,3,3,4,5,2,5,5,3,2,3,2,4,4,2,1,IN,en,49,M,secondary,mobile,panel,16.32444966272016
R0044,1,0,5,3,3,4,5,3,2,4,3,3,5,5,5,3,3,1,2,4,3,4,2,1,5,2,1,4,3,4,2,5,4,5,4,3,2,3,2,5,4,4,2,2,3,2,2,3,3,2,4,4,4,1,5,2,3,4,3,5,4,5,5,4,3,4,4,3,3,2,4,4,3,5,3,5,1,3,5,1,3,3,5,5,4,1,4,3,4,3,3,2,4,1,3,IN,en,19,M,master,mobile,panel,17.756010982688252
R0045,0,1,1,5,3,2,4,2,2,3,4,3,3,2,4,3,2,1,5,5,2,5,1,3,1,1,2,5,5,3,1,3,5,3,4,5,2,1,1,2,2,4,4,2,1,2,5,3,5,1,1,2,2,2,5,3,5,3,4,2,4,1,5,3,1,1,4,1,3,5,5,3,5,5,4,4,4,3,1,1,4,5,3,1,4,2,5,1,4,5,5,2,4,1,5,IN,en,19,M,master,mobile,organic,18.68713308538121
R0046,0,1,4,1,4,3,5,2,3,3,2,1,3,3,4,3,4,3,3,2,4,2,3,4,2,3,4,4,3,3,2,2,3,4,2,2,3,2,3,2,4,4,3,3,4,3,4,5,5,3,3,2,2,3,2,2,1,4,2,5,1,5,4,3,5,3,5,2,3,5,2,4,2,2,2,2,1,1,1,5,2,1,1,5,5,2,2,4,4,3,1,5,5,2,4,US,en,47,F,secondary,desktop,panel,26.922976758804165
R0047,1,1,5,2,3,4,4,1,3,4,2,2,3,3,3,2,5,3,3,3,1,3,2,2,4,2,3,4,1,3,1,3,2,2,3,4,2,3,3,4,2,1,2,5,2,2,3,2,1,4,4,3,5,2,4,4,3,3,3,3,2,4,3,2,3,4,4,2,2,2,4,4,5,4,5,5,5,5,5,1,4,5,3,2,3,5,4,1,1,3,4,2,5,4,3,US,en,40,F,phd,desktop,ads,27.764568122775778
R0048,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,5,3,4,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,IN,en,51,F,phd,desktop,ads,15.970825905285327
R0049,1,1,4,4,1,4,3,2,1,3,2,2,2,3,3,2,1,4,3,3,5,2,4,4,1,3,2,3,3,3,4,3,2,3,2,5,2,1,2,4,1,1,4,3,4,5,4,4,5,4,5,2,1,2,1,2,2,2,1,1,5,1,2,2,1,1,3,5,3,1,3,5,4,4,4,4,4,3,2,3,3,1,4,5,4,3,1,4,4,4,1,4,3,1,5,IN,en,23,M,bachelor,desktop,organic,32.69568461057734
R0050,0,0,5,2,5,5,1,2,3,1,2,4,5,2,1,3,2,3,5,3,3,2,4,1,1,4,3,3,5,4,3,1,2,4,2,3,3,2,3,1,4,4,2,3,1,1,4,1,4,3,5,3,4,5,2,2,2,4,1,2,1,2,2,3,2,3,1,3,1,2,3,3,1,3,5,3,5,2,1,1,5,4,5,3,4,4,5,2,1,1,1,1,1,5,1,RU,ru,64,F,phd,mobile,panel,15.692114850035797
R0051,0,0,2,5,5,1,1,5,5,5,1,4,1,1,2,3,1,5,4,2,4,3,5,3,1,3,2,4,3,4,2,1,4,3,2,4,1,3,3,2,2,3,4,1,4,3,2,5,5,2,4,1,2,2,5,1,2,4,3,1,4,1,3,5,2,3,1,5,1,1,5,4,5,5,4,3,5,5,4,3,4,5,4,2,3,3,4,3,3,3,5,1,4,4,2,IN,en,33,M,phd,mobile,ads,29.363542257242994
R0052,1,0,5,4,3,2,5,1,4,4,2,3,5,4,2,5,2,3,1,5,5,5,5,2,4,2,2,4,5,3,1,5,5,4,3,3,3,2,5,2,4,3,5,4,1,2,2,4,5,5,2,2,3,3,3,3,3,2,3,2,1,4,4,3,4,3,3,1,1,4,2,5,1,3,4,4,1,1,5,3,1,4,5,4,2,1,3,2,2,1,1,3,1,3,2,US,en,35,F,bachelor,desktop,panel,17.030749935436944
R0053,1,1,3,2,5,2,1,3,5,4,1,3,2,2,5,2,3,5,5,3,3,2,3,2,2,3,1,2,5,2,5,1,5,4,4,3,2,1,1,4,2,1,2,3,2,3,4,1,4,4,3,1,2,1,2,1,2,2,4,2,2,3,3,1,2,4,4,2,3,5,1,4,1,1,1,1,1,1,1,4,1,3,2,5,5,1,1,4,3,4,3,4,2,3,2,IN,en,43,M,master,mobile,ads,31.17687413330518
R0054,0,1,4,2,3,3,5,4,1,3,2,2,5,2,5,5,3,2,1,5,3,5,3,1,5,3,3,4,1,3,1,1,3,3,1,3,2,4,3,2,2,2,4,5,4,2,1,3,1,5,4,3,3,3,4,3,3,2,2,2,4,5,2,4,3,2,4,4,1,4,5,4,1,1,5,4,4,4,5,1,4,1,5,3,3,4,5,1,4,5,5,2,4,5,2,DE,de,47,M,master,desktop,panel,16.08448570715443
R0055,1,1,2,1,4,5,3,3,1,1,1,2,4,4,3,1,4,2,3,1,5,1,3,3,1,2,4,4,3,3,3,2,3,2,2,3,4,2,2,4,4,1,5,1,5,5,5,5,4,5,4,3,2,1,2,2,1,2,2,2,4,2,3,3,1,2,4,4,1,3,5,3,2,5,3,2,3,4,4,3,5,4,4,4,3,2,4,2,2,2,4,4,2,5,1,US,en,65,M,master,mobile,ads,27.01084886549298
