respondent_id,start_ts,end_ts,duration_ms,page_durations_json,focus_switches,interruptions
R0011,20250911_144618+0000,20250911_144618+0000,27365.091338557213,"[2713.8000978119558, 2505.9982006693085, 4698.831055642625, 2325.641586727232, 2434.386999989389, 2022.1465219994893, 3265.089713931182, 3741.9896053218945, 2037.4403135628554, 1619.7672429012823]",1,0
R0012,20250911_144618+0000,20250911_144618+0000,15073.818580996498,"[1346.108885624356, 2026.7275942498948, 1810.9326351511857, 1499.4728282299275, 1155.4380838917677, 1293.7245991509703, 1274.0388669061433, 1385.1360496074722, 2271.169514324923, 1011.0695238598578]",0,0
R0013,20250911_144618+0000,20250911_144618+0000,16091.227396649047,"[1285.491640678785, 1575.927308434278, 1497.4964109901216, 1729.8682550949811, 2288.5667214510718, 1668.2213383617168, 1662.0104148664002, 1746.0195916410175, 1869.9597681217047, 767.6659470089697]",0,0
R0014,20250911_144618+0000,20250911_144618+0000,26997.284618068312,"[2243.463990774308, 1830.7547879709289, 3671.9235634136076, 2577.6692670792363, 2588.726229188361, 2464.1358619837165, 2711.158708836641, 3298.407825441712, 4013.5771398557245, 1597.4672435240766]",0,0
R0015,20250911_144618+0000,20250911_144618+0000,19056.022326748396,"[1576.2888033560605, 2321.205850612569, 2118.1462125898647, 1620.1493050315848, 1773.9905357661646, 1970.9648662845252, 1898.9370399195975, 3075.9767790050096, 1772.8373401392673, 927.5255940437522]",3,1
R0016,20250911_144618+0000,20250911_144618+0000,15454.728572191603,"[2641.664412271685, 1271.7630020697447, 1601.9758912187467, 1427.4576828851154, 1350.5008907573888, 1494.5892347780625, 1817.0694975932693, 1111.4129177481911, 2049.6840049006287, 688.6110379687706]",2,0
R0017,20250911_144618+0000,20250911_144618+0000,19721.60523994249,"[2423.531693340351, 1658.101118439099, 2469.5490664671634, 2502.776565992096, 1543.2640649667617, 1967.0345528270345, 2065.6356333632807, 1790.4518726350025, 2156.2918446410526, 1144.9688272706503]",0,1
R0018,20250911_144618+0000,20250911_144618+0000,17260.637854827797,"[1270.5209453767484, 1895.8876849012213, 1732.4786274838482, 1598.0217791559235, 2348.5224753557504, 1918.0161924527558, 2008.3016506984798, 2010.0184857757324, 1442.4453453859808, 1036.4246682413577]",3,1
R0019,20250911_144618+0000,20250911_144618+0000,29200.789378071473,"[2123.0117885008804, 2624.103964148351, 3234.8558986990593, 3975.8617806434727, 3390.111021794691, 2268.7549844460955, 3468.5304784237824, 3149.291709669149, 2778.33943992161, 2187.9283118243798]",0,1
R0020,20250911_144618+0000,20250911_144618+0000,26638.62458867116,"[2772.4302765533253, 2484.2928347220773, 2293.3445451455436, 2805.929478329038, 2294.577896200271, 2086.4067833578497, 3917.5731047867293, 2524.5796707341556, 3788.203971250443, 1671.286027591725]",1,0
R0021,20250911_144618+0000,20250911_144618+0000,18159.68210885903,"[2570.703767651448, 1825.8037986297466, 1934.5212766585225, 2436.8566352676053, 1256.6292609534353, 1691.8555962375651, 1655.4852454518807, 1573.6246374683753, 2430.7992503209025, 783.4026402195503]",2,0
R0022,20250911_144618+0000,20250911_144618+0000,16680.359923317053,"[2024.6809953650845, 1632.7838982468706, 1125.4083399301487, 2276.6093981091017, 1908.6547642088076, 1755.3919656132216, 1722.0876075573765, 1714.3083938475143, 1520.1369312866047, 1000.2976291523242]",2,0
R0023,20250911_144618+0000,20250911_144618+0000,16778.227848889583,"[1631.4038069158212, 2403.026871820785, 1476.849967719943, 1638.9642679852486, 1551.2989707715924, 1782.2838109861145, 2026.8419377998164, 1014.7270261429646, 1733.9146501201749, 1518.9165386271227]",1,0
R0024,20250911_144618+0000,20250911_144618+0000,16577.619124879675,"[1630.8282861923208, 1262.234882920714, 1701.5816258449158, 1265.9805186972592, 1741.2909226444444, 2220.4810644054737, 2485.169092714144, 1587.1550858432338, 2387.48208427249, 295.41556134467993]",0,0
R0025,20250911_144618+0000,20250911_144618+0000,17042.05910616489,"[1768.6357796407146, 1385.2235786801032, 1634.7773944659182, 2273.7170380895, 2171.2526291690565, 1719.0597817526748, 1723.0582392526803, 1677.7797914532105, 1836.8768233332266, 851.6780503278039]",1,0
R0026,20250911_144618+0000,20250911_144618+0000,18795.73389503681,"[1480.7399212257924, 2459.1183855619624, 1503.1898920979909, 1502.8856668109281, 1538.5205966046665, 1835.5947871242333, 1867.5532321187745, 3450.2038792310054, 1944.3974876092527, 1213.530046652204]",0,0
R0027,20250911_144618+0000,20250911_144618+0000,17470.852837531966,"[1630.6009873041587, 1253.4081477530526, 2568.9589053075592, 1953.806018690007, 1658.6495028014049, 2641.0138062125284, 1291.5328932928721, 2021.5123707553482, 1676.5286020623528, 774.8416033526819]",2,1
R0028,20250911_144618+0000,20250911_144618+0000,15653.387095205873,"[1793.9119710916914, 1498.8388117566153, 1537.0409235158115, 1618.955599935775, 1619.9459567173992, 1783.2130159226895, 1538.0002270517018, 1612.2546294280278, 1868.9137882945745, 782.3121714915874]",0,1
R0029,20250911_144618+0000,20250911_144618+0000,18209.874331342908,"[1569.7182547000518, 2365.3654320491805, 1907.3868819271195, 2713.9897783082265, 1684.6829930733368, 1584.2947120562626, 1507.4576237159142, 2132.6727820961537, 1569.935730641793, 1174.370142774869]",1,0
R0030,20250911_144618+0000,20250911_144618+0000,17037.51270701403,"[1198.0396149196902, 1311.010817670289, 2745.304962309793, 1133.6150193447338, 2232.8407057789254, 1681.7656952449252, 1864.20928042134, 1883.0967141133515, 2105.392061415339, 882.2378357956435]",3,0
R0031,20250911_144618+0000,20250911_144618+0000,27298.843899989097,"[2658.8908377613734, 2866.805418255197, 2710.445463218988, 3003.332777306285, 3233.4384339568123, 1741.0977972569458, 2945.648158047232, 3550.0397250942824, 3409.1330652661445, 1180.012223825836]",0,0
R0032,20250911_144618+0000,20250911_144618+0000,16623.76527032327,"[1715.456085973045, 2028.351003069727, 1934.821426635943, 1244.139319233647, 2020.5325820230112, 2180.310979570903, 1810.4313238010934, 1031.2958669651543, 1669.8170237157613, 988.6096593349841]",1,0
R0033,20250911_144618+0000,20250911_144618+0000,16272.086018498578,"[1905.6562737564807, 1390.3677164932287, 1859.3563480928337, 1669.100140630679, 1863.6839673733077, 1651.9277355260056, 1613.48914488468, 1770.0262241265968, 1982.176869502166, 566.3015981125995]",1,0
R0034,20250911_144618+0000,20250911_144618+0000,17058.76946603978,"[1915.28853632627, 1555.2956745507747, 1781.7130216456335, 1683.5177891645358, 1781.4228582814462, 2033.5707273320031, 2043.7372172905682, 1883.9786827325543, 1698.5503079107534, 681.6946508052414]",0,0
R0035,20250911_144618+0000,20250911_144618+0000,16880.13547900662,"[1483.3816423845224, 1880.779800618083, 1828.5514067527859, 1580.9340934456438, 1568.900436770305, 2351.9553462573494, 1322.0513919488708, 1470.0217296845576, 2785.1605012012587, 608.3991299432436]",2,2
R0036,20250911_144618+0000,20250911_144618+0000,28145.29825420662,"[2727.9877157003143, 2749.1518176629397, 2541.97564944641, 2691.882478952651, 2189.95390179345, 2701.1217238276554, 4487.947857044397, 2936.066463474837, 3700.9925091421387, 1418.2181371618276]",0,0
R0037,20250911_144618+0000,20250911_144618+0000,28636.66054304578,"[2879.0037254526806, 2290.7997677123544, 2989.0212454483662, 3586.6304698247654, 2454.9455013830843, 3261.5568913639636, 3258.6293550320966, 2367.4572035646875, 3677.945558410103, 1870.6708248536788]",1,1
R0038,20250911_144618+0000,20250911_144618+0000,18750.88475480407,"[1676.332265960817, 2015.5936483515586, 2265.45866409047, 2468.3468862938835, 2005.6700159271768, 2529.8638886601357, 2128.2331493965107, 1757.3441441205275, 1098.5728275112763, 805.4692644917127]",3,0
R0039,20250911_144618+0000,20250911_144618+0000,19641.25291135827,"[1652.6313777400208, 2396.6071319344246, 1528.519429619102, 2573.680977287231, 1920.0903507378005, 1582.2974569308783, 2603.3220200281135, 2166.932174244907, 2510.6269047695528, 706.5450880662415]",0,1
R0040,20250911_144618+0000,20250911_144618+0000,17780.954238651415,"[1910.672334177383, 1789.712622090581, 2119.2034555150517, 1286.8907903230458, 1752.687096040817, 2553.7657075474363, 1744.524375598693, 1597.3005701489574, 2313.9084980314187, 712.2887891780323]",2,1
R0041,20250911_144618+0000,20250911_144618+0000,18188.833710588086,"[1655.5248346081255, 2064.5312781782873, 1676.6824407649078, 1691.194404733405, 1512.6426458138035, 2548.8894467447994, 1644.6244752753514, 1534.2466655914914, 2114.1718639628484, 1746.3256549150644]",4,1
R0042,20250911_144618+0000,20250911_144618+0000,15471.67120685299,"[1497.152551750044, 1617.0167270457855, 2355.5881735087146, 1826.2431349626509, 1733.4103161112173, 1062.0131913854646, 1533.7909786175376, 1148.8591965767696, 1370.8961238004606, 1326.7008130943454]",0,0
R0043,20250911_144618+0000,20250911_144618+0000,16324.44966272016,"[1376.5621793004918, 1553.730764997843, 1798.053965434968, 1625.610902015157, 1783.909344116061, 1521.703547312848, 1810.7849856556406, 1528.3792000568264, 1695.5647506085227, 1630.1500232218018]",1,0
R0044,20250911_144618+0000,20250911_144618+0000,17756.01098268825,"[1807.4271692728312, 2202.8299323278316, 1859.394842236639, 1619.6863425442364, 1090.4099925859903, 1586.1420950362233, 2656.259879908958, 2225.1009352203087, 1789.2909146245734, 919.4688789306588]",0,1
R0045,20250911_144618+0000,20250911_144618+0000,18687.13308538121,"[1701.2440902140631, 2410.0592683773, 1697.9968744821174, 1443.497678378341, 1726.7480167108865, 3006.4074939194525, 1847.1344028492128, 1937.2964764360931, 1947.1717892994393, 969.5769947143027]",4,0
R0046,20250911_144618+0000,20250911_144618+0000,26922.976758804165,"[2561.627127496694, 2367.0038561595206, 3143.700038211057, 4115.180816082818, 2838.1750720220675, 2595.2216989430003, 2599.3979390725485, 2768.008186257066, 2741.965802691989, 1192.6962218674057]",1,1
R0047,20250911_144618+0000,20250911_144618+0000,27764.568122775778,"[4181.824934112763, 2660.59325926551, 3013.871502950051, 3719.3496823013375, 2725.5312650721703, 2927.2087614979287, 2508.392653329501, 2270.153028390347, 2610.0549973455354, 1147.5880385106323]",0,0
R0048,20250911_144618+0000,20250911_144618+0000,15970.825905285326,"[1870.9936925823688, 1834.8291090328353, 1810.1418092206113, 1691.024155436791, 1607.991417522242, 1632.0987653692773, 1797.8258566179545, 1525.3700664789421, 1438.3058598330394, 762.2451731912645]",0,0
R0049,20250911_144618+0000,20250911_144618+0000,32695.684610577337,"[3166.8946818655154, 3825.3567176986016, 3494.7083072830637, 4104.235209456657, 3534.3841419548544, 4121.443433855216, 3206.6312993378237, 3358.940958423314, 2944.5968146435225, 938.4930460587669]",0,0
R0050,20250911_144618+0000,20250911_144618+0000,15692.114850035796,"[1315.5522515849218, 1370.763267916713, 1365.5042981325075, 1690.286668257909, 2223.272737457826, 2629.260401413202, 1094.7596185439731, 1404.1827709708593, 1703.1969132881359, 895.3359224697474]",0,1
R0051,20250911_144618+0000,20250911_144618+0000,29363.542257242992,"[3202.6792242344472, 3104.087835444416, 3374.6905741050796, 2969.4146392635594, 3105.3350165970287, 2942.448204527055, 3041.9538206952934, 3437.4986842626176, 2813.9969594041277, 1371.437298709368]",0,1
R0052,20250911_144618+0000,20250911_144618+0000,17030.749935436943,"[1534.319353730509, 1581.4726280841205, 1973.2390759734158, 1631.668200926458, 1729.481806454655, 2308.9151412527817, 1879.8323245049876, 2340.621857327177, 1326.8117199140765, 724.3878272687622]",0,0
R0053,20250911_144618+0000,20250911_144618+0000,31176.87413330518,"[3582.255334955442, 4480.184873184814, 3433.149110316592, 3962.290641038876, 2313.219066334667, 3013.1443420769933, 2137.44579469074, 4377.111010462726, 2704.266944977355, 1173.8070152669768]",0,0
R0054,20250911_144618+0000,20250911_144618+0000,16084.485707154428,"[1380.079983648217, 1159.3802567078314, 1487.5715134579837, 2321.0666140410353, 1679.9833847466052, 1482.7182495071397, 1545.6710688548844, 2433.5409462232046, 1818.5047357234514, 775.9689542440752]",2,0
R0055,20250911_144618+0000,20250911_144618+0000,27010.848865492986,"[2499.085556809298, 3585.947235803817, 2473.151731396038, 2576.263592735776, 3111.2938051564665, 2808.9926410419052, 2660.729418790401, 3146.072761503526, 3007.618139871485, 1141.6939823842736]",0,0
R0056,20250911_144618+0000,20250911_144618+0000,17072.36647852543,"[1532.8797419403732, 1439.4657801808535, 1500.3432004644626, 2660.919230480328, 1808.700431000173, 1600.8322579534815, 1382.305746315947, 1503.4299809969864, 1958.4358791512168, 1685.054230041607]",3,1
R0057,20250911_144618+0000,20250911_144618+0000,32590.487614450427,"[2583.662715593404, 2987.3826920748347, 2833.2708869930975, 4947.382915753461, 2471.862378591424, 3038.9097440543587, 3615.125534876482, 4112.188483434079, 4544.493917310293, 1456.2083457689941]",0,0
R0058,20250911_144618+0000,20250911_144618+0000,17907.950920372088,"[1492.4100657328534, 1569.247772973894, 2523.5585282287884, 2431.349651553897, 1536.6752497559603, 1256.5034417799425, 1340.74770337543, 2519.1663238153287, 2470.0500574965813, 768.2421256594109]",1,1
R0059,20250911_144618+0000,20250911_144618+0000,16030.385053666549,"[1716.0271964913238, 1384.6026041749715, 1563.9894686486043, 1564.5257862905632, 1557.4318728737005, 1955.2210874442849, 1653.3901204107367, 1671.6857939119989, 1866.8579507290574, 1096.6531726913067]",0,0
R0060,20250911_144618+0000,20250911_144618+0000,18203.27768333658,"[1903.5397998120607, 1959.385665839544, 1367.4405422129573, 2478.7984267461497, 1776.7449200674237, 1462.3200750733079, 2803.180621759217, 1874.2682489747428, 1821.4946215590335, 756.1047612921442]",0,1
R0061,20250911_144618+0000,20250911_144618+0000,16991.77811573307,"[1881.312595972496, 1800.6522084007188, 1687.0863200927397, 1792.1290733606447, 1776.9593082457468, 1435.6281224321438, 1643.7497301008932, 2096.1551231471926, 2318.8048862906976, 559.3007476897959]",0,1
R0062,20250911_144618+0000,20250911_144618+0000,29308.425816608822,"[3495.2299344009225, 3024.07357613494, 2705.555829800453, 3185.9729271357232, 2655.5329298886004, 4011.9659172104894, 3548.136021009899, 2755.9301216975678, 2215.075208099999, 1710.9533512302278]",1,0
R0063,20250911_144618+0000,20250911_144618+0000,18618.964906386904,"[1853.4895149695844, 2757.733238826427, 1873.3879530261613, 2952.5665921314067, 1728.423512533624, 1613.89621914117, 2439.426989913851, 1519.0081665834728, 1432.7086321408428, 448.3240871203658]",1,0
R0064,20250911_144618+0000,20250911_144618+0000,17227.148237,"[2848.921542619554, 1839.9379783592287, 1889.9544648959677, 1238.3826142839516, 1712.1555368601094, 1552.667404311371, 1381.9457697811986, 1953.1278798466271, 1661.8644286559768, 1148.1906173860148]",2,0
R0065,20250911_144618+0000,20250911_144618+0000,28707.20581032595,"[2260.67200783348, 4635.65967503786, 3290.5902661140535, 2498.540246457367, 3813.3113109918786, 2613.4579269858373, 2806.87161672861, 3729.1872873107827, 1621.0107288290826, 1437.904744037001]",1,2
R0066,20250911_144618+0000,20250911_144618+0000,27730.081919608157,"[3999.6925664514083, 2091.894686036628, 4799.416974799441, 2075.710474762352, 3437.981683062858, 2642.385256258208, 2469.21299447146, 2776.606585882505, 2263.6901698119905, 1173.4905280713042]",0,2
R0067,20250911_144618+0000,20250911_144618+0000,16462.983500253205,"[1929.5786570166163, 1296.3091094293056, 1638.7487550901046, 1635.9944317852207, 2008.6042690317902, 1622.3971167133518, 1287.150251669349, 1780.7238947369422, 2252.9101145098734, 1010.566900270652]",2,1
R0068,20250911_144618+0000,20250911_144618+0000,23723.999046606987,"[2124.422656518489, 1978.7705204877698, 2252.6826386681255, 2802.414271537148, 1926.5900261834684, 2132.271486916618, 1992.901415495824, 3938.6998084757593, 3109.491503923715, 1465.7547184000691]",3,0
R0069,20250911_144618+0000,20250911_144618+0000,17549.504937542406,"[1455.1696156906726, 1403.620464061462, 1960.9179197176647, 2005.5690074848374, 2388.2597091252906, 2280.1741678479525, 1686.8508459794486, 1821.195741448016, 2078.817959924684, 468.92950626237905]",0,0
R0070,20250911_144618+0000,20250911_144618+0000,15506.452181758697,"[1477.1617324679466, 1665.1344890269763, 1263.307683765339, 1636.9738033911033, 2412.8262934617023, 1300.0350160803669, 1878.7898976539705, 1291.2844679994253, 1489.6070788087866, 1091.3317191030808]",0,1
R0071,20250911_144618+0000,20250911_144618+0000,17220.72163952041,"[1748.5522612836176, 2273.4209778019062, 1643.650208483554, 1514.9004630520255, 1951.5559833124896, 2067.963326680872, 1483.0591141396117, 1554.7036862954685, 2113.955064630728, 868.9605538401356]",1,0
R0072,20250911_144618+0000,20250911_144618+0000,28374.412128859596,"[3347.10373402475, 3531.260062206094, 2467.927106176176, 1686.054486013454, 3088.7789895332985, 3238.69266918877, 2691.9494192428892, 3002.6593751827677, 3596.0884467991264, 1723.8978404922718]",1,0
R0073,20250911_144618+0000,20250911_144618+0000,26546.737989332105,"[2842.386365857654, 2353.0928432993483, 3451.505986327186, 1875.0839386470677, 2966.632252606944, 1673.7636812623866, 3322.6289633267365, 3141.9671245583045, 3644.1822191390856, 1275.4946143073919]",1,0
R0074,20250911_144618+0000,20250911_144618+0000,16455.771403382274,"[1709.7160912300726, 1602.5238488112836, 1346.6386823566859, 1169.4128571851684, 1832.830499877291, 1918.4037187429312, 1846.1858523276617, 2162.821662868841, 1604.9942773275102, 1262.2439126548272]",1,0
R0075,20250911_144618+0000,20250911_144618+0000,26703.536909418297,"[2752.116914442865, 2335.2690750919583, 2658.321032711454, 3109.741939708854, 3103.2186041282016, 2065.1255748858716, 3269.4442272804945, 3573.7371218759677, 2181.9824132416343, 1654.5800060509966]",0,0
R0076,20250911_144618+0000,20250911_144618+0000,17085.328324046495,"[1363.3988715151809, 2578.777378133484, 1523.0438813488013, 1746.2349179839655, 2092.669979027056, 1299.1339400991737, 2124.9392875971366, 1650.287040927337, 1959.936529184468, 746.9064982298928]",0,0
R0077,20250911_144618+0000,20250911_144618+0000,16526.160478846257,"[1619.2136037895943, 1491.958351625027, 1913.4413730866063, 1765.5245558143345, 1349.7074293451183, 2271.0656374357322, 1427.7565948988665, 1688.2109663249146, 2044.8899553526007, 954.3920111734631]",2,0
R0078,20250911_144618+0000,20250911_144618+0000,18051.39612588986,"[1795.4979540509075, 1450.1505123241998, 1864.380062381705, 1801.0672149288882, 2301.365801238475, 1809.532106853571, 2417.085334031724, 1310.226369427695, 2657.959275861089, 644.1314947916052]",1,2
R0079,20250911_144618+0000,20250911_144618+0000,16881.790053815108,"[3116.440153263639, 1796.1996496658423, 2079.187566591692, 1959.9804849919242, 1389.7298989168708, 1134.6255590558758, 1953.9504052843008, 1495.3067574448828, 1257.9344728569592, 698.4351057431222]",1,0
R0080,20250911_144618+0000,20250911_144618+0000,17023.178948949448,"[1869.0427177799447, 1996.7947784945338, 1412.2472152107184, 1917.0672306078964, 2233.373793268643, 1074.088373644257, 1984.2666525569489, 1272.7735856197535, 2858.270792433285, 405.2538093334674]",1,0
R0081,20250911_144618+0000,20250911_144618+0000,17915.220963030002,"[2345.789798757272, 1392.3092769521274, 1663.1015192556872, 1827.060575544322, 2129.539083247235, 2442.201178929897, 1405.5186090163684, 1947.158088035371, 1941.1271535667834, 821.4156797249392]",0,0
R0082,20250911_144618+0000,20250911_144618+0000,15080.376697132475,"[1704.9057068127156, 1613.4272952401006, 1565.2367538555895, 1334.8919491354645, 1112.9788240717817, 1639.4524601421913, 1561.194789398576, 2086.008821664201, 1735.1366647816853, 727.1434320301698]",0,0
R0083,20250911_144618+0000,20250911_144618+0000,17200.507200912525,"[1628.8053093073197, 1368.5180467780935, 1687.4174074299317, 1950.4312571825305, 1910.447554648647, 2036.932850121931, 2091.713151415379, 1204.9030021258727, 2661.6397778889477, 659.6988440138706]",0,2
R0084,20250911_144618+0000,20250911_144618+0000,16284.865913930027,"[1366.20022864914, 1430.5841664284087, 1787.2575193770847, 1192.8833720378293, 1266.1015711274, 2006.6408149942042, 2165.065553850345, 1567.6844116507866, 2206.320732268292, 1296.127543546537]",0,1
R0085,20250911_144618+0000,20250911_144618+0000,27167.79115944935,"[2653.9638207997873, 3345.1604862533914, 4437.292027844178, 2786.8793836586165, 2688.93414084027, 2272.2265042827394, 2128.4954242456115, 2371.3600166865267, 2653.0780113942196, 1830.4013434440085]",0,0
R0086,20250911_144618+0000,20250911_144618+0000,16544.578515723402,"[1479.2336767034078, 1911.068556489032, 1330.8928723530917, 2052.0014896806088, 1769.9076019820313, 2005.1344666728528, 1513.3296483025754, 1379.320046909024, 2037.0901654329116, 1066.5999911978672]",1,0
R0087,20250911_144618+0000,20250911_144618+0000,16676.462526647887,"[1769.8400786961577, 1600.7128415194738, 2102.136562785011, 1729.6204328369201, 1195.8077324164587, 1496.951150611995, 1642.3611603622408, 2404.635664511223, 1894.3426794769912, 840.0542234314166]",0,0
R0088,20250911_144618+0000,20250911_144618+0000,17037.04117819594,"[1311.3084443502971, 1580.5478267550134, 2251.986732989687, 2366.6683531896274, 1812.2239005590272, 1211.992870996149, 2529.2729883251122, 1605.7887351301674, 1352.4747601056868, 1014.7765657951746]",2,0
R0089,20250911_144618+0000,20250911_144618+0000,17550.181900210366,"[1406.746851806119, 2156.7816182904035, 1790.4249600143169, 2813.919182168096, 1471.0302548225563, 1788.7638581903564, 1979.3548764822451, 1894.884127780839, 1473.7872756301397, 774.4888950252928]",0,0
R0090,20250911_144618+0000,20250911_144618+0000,27153.253915767033,"[3113.1127148722558, 3091.9375592979172, 2475.8297982081954, 2599.0316457196245, 2951.9533160855494, 4006.398093537134, 2151.659393914484, 2402.2410143641646, 3000.76297376165, 1360.3274060060583]",0,0
R0091,20250911_144618+0000,20250911_144618+0000,16322.121438678076,"[1861.7178248534115, 1452.5960347921316, 1711.8188654977469, 1353.2121943571208, 1602.9023970636338, 1909.1218422499749, 2135.2603541206977, 1801.5486642308058, 1679.53635265384, 814.4069088587132]",0,0
R0092,20250911_144618+0000,20250911_144618+0000,18475.46139866108,"[2459.0132189030896, 2702.031239420692, 1406.1612656670732, 1860.6312834732578, 1537.3411809903753, 1491.9835475680936, 1838.2992133531902, 2006.9146095274825, 2380.7254284688897, 792.3604112889325]",3,0
R0093,20250911_144618+0000,20250911_144618+0000,17165.13036608546,"[1900.6874012146666, 1567.5936760038553, 2730.1115469712877, 1358.4563658998288, 1545.1815319033835, 1558.5044451986994, 1987.929449351177, 2203.9599784873826, 1458.218351931811, 854.4876191233702]",2,0
R0094,20250911_144618+0000,20250911_144618+0000,19046.96940070816,"[2416.727562240249, 2335.0569555788966, 1586.9426864977058, 1608.2435942816164, 3164.241451984141, 2134.5183034090455, 1293.110436099498, 1697.5758246880703, 1864.5259466795828, 946.0266392493546]",0,0
R0095,20250911_144618+0000,20250911_144618+0000,31373.58402646666,"[2984.1972016627587, 3180.617514456449, 3842.6837126541327, 2755.2599913982094, 2842.523992732334, 2696.5573818068133, 3527.881071850284, 4452.5750520690335, 3081.3878391897833, 2009.9002686468602]",0,0
R0096,20250911_144618+0000,20250911_144618+0000,17565.54485229989,"[1887.848341199499, 1277.813725683505, 1505.116424603311, 1825.9117791692117, 1523.5202927515475, 3024.399408450849, 1558.803995495586, 2003.6930305097947, 2131.515035963799, 826.9228184727851]",1,0
R0097,20250911_144618+0000,20250911_144618+0000,15955.039908279,"[1981.916019236521, 1846.8930389024486, 1554.865286054546, 1523.2926141636513, 1562.1159862922402, 2306.2202135159932, 1267.2506279019797, 1770.5590813393242, 1479.9356869469214, 661.9913539253755]",0,0
R0098,20250911_144618+0000,20250911_144618+0000,16013.771168755116,"[1958.7237471396386, 1593.3935478015703, 1736.9970863631902, 1609.9178860777247, 1888.01483338563, 1485.0614268981583, 1079.6384964069011, 1651.4371270372073, 2084.386776981615, 926.2002406634805]",1,0
R0099,20250911_144618+0000,20250911_144618+0000,25271.633771680205,"[2966.982748989872, 2616.205282066867, 2903.998760810662, 1980.1127314674447, 2198.418275244906, 2525.6218177340807, 2994.8976224943017, 2489.5167573500707, 2974.3327862000388, 1621.5469893219592]",0,0
R0100,20250911_144618+0000,20250911_144618+0000,15770.979501718302,"[2339.9807407892636, 1577.6621846376688, 1338.2915140523614, 1345.032529323501, 2296.7982946658394, 1417.2197150976172, 1585.902203694975, 1251.6991176478934, 1980.336645861155, 638.0565559480281]",1,0
R0101,20250911_144618+0000,20250911_144618+0000,16406.784498616074,"[1328.2328884591366, 1938.3317466899255, 1815.1867273438306, 1321.9755965133738, 2157.3163823709037, 1690.7670959302086, 1490.251652892367, 1397.0894967639808, 2400.7824322510087, 866.8504794013377]",1,1
R0102,20250911_144618+0000,20250911_144618+0000,27897.78291400944,"[2470.051647465466, 3586.477837446845, 2729.4335393082383, 2620.271726168186, 2589.8657821623024, 3158.4653944371116, 3484.669493006588, 2690.0820182253906, 2867.6062904451123, 1700.8591853442001]",2,0
R0103,20250911_144618+0000,20250911_144618+0000,17902.74242738746,"[1957.7756931741228, 2353.0267545906913, 1898.3566212284559, 1536.7920484763058, 1455.1723157007864, 1496.3915036404292, 2646.4727031575794, 1560.9520620757323, 1708.776211090343, 1289.0265142530147]",1,0
